DATE,PLANT,MATERIAL,RANKING
20210212,D111,10000906,1
20210212,D120,10000050,1
20210212,D136,10000000,1
20210212,D144,10000050,1
20210212,D144,10000069,1
20210212,D145,10000050,1
20210212,D145,10000069,1
20210212,D145,10000906,1
20210212,D677,10000050,1
20210213,D074,10000050,1
20210213,D075,10000050,1
20210213,D077,10000050,1
20210213,D079,10000050,1
20210213,D080,10000050,1
20210213,D081,10000050,1
20210213,D083,10000050,1
20210213,D084,10000050,1
20210213,D084,10000069,1
20210213,D085,10000069,1
20210213,D086,10000050,1
20210213,D093,10000050,1
20210213,D098,10000050,1
20210213,D101,10000050,1
20210213,D105,10000050,1
20210213,D111,10000050,1
20210213,D111,10000906,1
20210213,D120,10000050,1
20210213,D144,10000050,1
20210213,D144,10000069,1
20210213,D145,10000050,1
20210213,D145,10000069,1
20210213,D145,10000906,1
20210213,D677,10000050,1
20210215,D074,10000050,1
20210215,D075,10000050,1
20210215,D077,10000050,1
20210215,D079,10000050,1
20210215,D081,10000050,1
20210215,D083,10000050,1
20210215,D084,10000000,1
20210215,D085,10040465,1
20210215,D086,10000050,1
20210215,D093,10000050,1
20210215,D098,10000050,1
20210215,D101,10000050,1
20210215,D105,10000050,1
20210215,D105,10040465,1
20210215,D120,10000050,1
20210215,D144,10000050,1
20210215,D144,10000069,1
20210215,D145,10000050,1
20210215,D145,10000069,1
20210215,D677,10000050,1
20210216,D074,10000050,1
20210216,D075,10000050,1
20210216,D077,10000050,1
20210216,D079,10000050,1
20210216,D080,10000050,1
20210216,D081,10000050,1
20210216,D083,10000050,1
20210216,D083,10040465,1
20210216,D084,10000050,1
20210216,D084,10040465,1
20210216,D093,10000050,1
20210216,D098,10000050,1
20210216,D098,10000906,1
20210216,D105,10000050,1
20210216,D144,10000050,1
20210216,D144,10000069,1
20210216,D145,10000050,1
20210216,D677,10000050,1
20210217,D074,10000050,1
20210217,D075,10000050,1
20210217,D077,10000050,1
20210217,D079,10000050,1
20210217,D083,10000050,1
20210217,D084,10000050,1
20210217,D085,10000050,1
20210217,D085,10040465,1
20210217,D086,10000050,1
20210217,D093,10000050,1
20210217,D098,10000050,1
20210217,D101,10000050,1
20210217,D101,10000069,1
20210217,D105,10000050,1
20210217,D120,10000050,1
20210217,D144,10000050,1
20210217,D144,10000069,1
20210217,D145,10000050,1
20210217,D145,10000069,1
20210218,D074,10000050,1
20210218,D075,10000050,1
20210218,D077,10000050,1
20210218,D079,10000050,1
20210218,D080,10000050,1
20210218,D081,10000050,1
20210218,D081,10040465,1
20210218,D083,10000050,1
20210218,D085,10000050,1
20210218,D086,10000050,1
20210218,D086,10000069,1
20210218,D093,10000050,1
20210218,D098,10000050,1
20210218,D101,10000050,1
20210218,D101,10000069,1
20210218,D105,10000050,1
20210218,D120,10000050,1
20210218,D144,10000050,1
20210218,D144,10000069,1
20210218,D145,10000050,1
20210218,D145,10000069,1
20210219,D074,10000050,1
20210219,D074,10000069,1
20210219,D075,10000050,1
20210219,D077,10000050,1
20210219,D077,10000906,1
20210219,D079,10000050,1
20210219,D079,10000906,1
20210219,D080,10000050,1
20210219,D081,10000050,1
20210219,D083,10000050,1
20210219,D083,10040465,1
20210219,D084,10000050,1
20210219,D084,10000906,1
20210219,D085,10000050,1
20210219,D086,10000050,1
20210219,D086,10000069,1
20210219,D093,10000050,1
20210219,D098,10000050,1
20210219,D101,10000050,1
20210219,D101,10000069,1
20210219,D105,10000050,1
20210219,D105,10000906,1
20210219,D111,10000050,1
20210219,D120,10000050,1
20210219,D144,10000050,1
20210219,D144,10000069,1
20210219,D145,10000050,1
20210219,D145,10000069,1
20210219,D677,10000050,1
20210220,D074,10000050,1
20210220,D075,10000050,1
20210220,D077,10000050,1
20210220,D079,10000050,1
20210220,D081,10000050,1
20210220,D083,10000050,1
20210220,D083,10040465,1
20210220,D085,10000050,1
20210220,D086,10000050,1
20210220,D093,10000050,1
20210220,D098,10000050,1
20210220,D101,10000050,1
20210220,D101,10000069,1
20210220,D105,10000050,1
20210220,D105,10000906,1
20210220,D120,10000050,1
20210220,D144,10000050,1
20210220,D144,10000069,1
20210220,D145,10000050,1
20210220,D677,10000050,1
20210221,D074,10000050,1
20210222,D074,10000050,1
20210222,D075,10000050,1
20210222,D077,10000050,1
20210222,D077,10040465,1
20210222,D079,10000050,1
20210222,D081,10000050,1
20210222,D083,10000050,1
20210222,D083,10040465,1
20210222,D084,10000050,1
20210222,D085,10000050,1
20210222,D086,10000050,1
20210222,D086,10000069,1
20210222,D093,10000050,1
20210222,D098,10000050,1
20210222,D105,10000050,1
20210222,D120,10000050,1
20210222,D144,10000050,1
20210222,D144,10000069,1
20210222,D145,10000050,1
20210222,D145,10000069,1
20210222,D677,10000050,1
20210223,D074,10000050,1
20210223,D075,10000050,1
20210223,D077,10000050,1
20210223,D079,10000050,1
20210223,D080,10000050,1
20210223,D081,10000050,1
20210223,D083,10000050,1
20210223,D084,10040465,1
20210223,D085,10000050,1
20210223,D086,10000050,1
20210223,D093,10000050,1
20210223,D098,10000050,1
20210223,D101,10000050,1
20210223,D101,10000069,1
20210223,D105,10000050,1
20210223,D111,10000050,1
20210223,D120,10000050,1
20210223,D136,10000000,1
20210223,D144,10000050,1
